timestamp_tick\tplayers\tuptime_s\tstep_ms
100	0	5.1	50.17
200	0	10.1	50.16
300	0	15.1	50.16
400	0	20.1	50.15
500	0	25.2	50.13
600	0	30.2	50.23
700	0	35.2	50.15
800	0	40.2	50.16
900	0	45.2	50.20
1000	0	50.2	50.15
1100	0	55.3	50.15
1200	0	60.3	50.18
1300	0	65.3	50.16
1400	0	70.3	50.15
1500	0	75.3	50.16
1600	0	80.3	50.15
1700	0	85.3	50.16
1800	0	90.4	50.14
1900	0	95.4	50.16
2000	0	100.4	50.16
2100	0	105.4	50.16
2200	0	110.4	50.16
2300	0	115.4	50.16
2400	0	120.5	50.15
2500	0	125.5	50.15
2600	0	130.5	50.16
2700	0	135.5	50.15
2800	0	140.5	50.17
2900	0	145.5	50.16
3000	0	150.6	50.13
3100	0	155.6	50.16
3200	0	160.6	50.09
3300	0	165.6	50.17
3400	0	170.6	50.13
3500	0	175.6	50.30
3600	0	180.6	50.16
3700	0	185.7	50.20
3800	0	190.7	50.15
3900	0	195.7	50.17
4000	0	200.7	50.15
4100	0	205.7	50.17
4200	0	210.7	50.15
4300	0	215.8	50.16
4400	0	220.8	50.16
4500	0	225.8	50.16
4600	0	230.8	50.12
4700	0	235.8	50.16
4800	0	240.8	50.20
4900	0	245.9	50.14
5000	0	250.9	50.19
5100	0	255.9	50.15
5200	0	260.9	50.18
5300	0	265.9	50.17
5400	0	270.9	50.14
5500	0	276.0	50.12
5600	0	281.0	50.13
5700	0	286.0	50.15
5800	0	291.0	50.15
5900	0	296.0	50.16
6000	0	301.0	50.16
6100	0	306.0	50.15
6200	0	311.1	50.13
6300	0	316.1	50.16
6400	0	321.1	50.16
6500	0	326.1	50.17
6600	0	331.1	50.16
6700	0	336.1	50.16
6800	0	341.2	50.16
6900	0	346.2	50.18
7000	0	351.2	50.14
7100	0	356.2	50.20
7200	5	361.2	46.43
7300	15	366.4	49.57
7400	20	371.5	48.66
7500	20	376.6	50.86
7600	20	381.6	50.60
7700	20	386.7	50.84
7800	20	391.8	50.71
7900	20	396.9	50.75
8000	20	402.1	50.04
8100	20	407.2	51.11
8200	20	412.4	50.84
8300	20	417.5	50.67
8400	20	422.6	50.49
8500	20	427.7	50.81
8600	20	432.9	50.95
8700	20	438.0	50.95
8800	20	443.2	51.19
8900	20	448.4	50.95
9000	20	453.5	50.82
9100	20	458.7	50.81
9200	20	463.7	50.23
9300	20	468.9	50.67
9400	20	474.1	50.72
9500	20	479.3	50.79
9600	20	484.4	50.67
9700	20	489.5	50.51
9800	20	494.7	50.73
9900	20	499.9	50.87
10000	20	505.0	49.76
10100	20	510.1	50.77
10200	20	515.3	50.38
10300	20	520.5	47.91
10400	20	525.7	50.45
10500	20	530.9	50.43
10600	20	536.1	50.65
10700	15	541.3	50.52
10800	5	546.3	50.27
10900	0	551.4	50.18
11000	0	556.5	50.14
11100	0	561.7	50.15
11200	0	566.7	69.44
11300	0	571.8	50.17
11400	0	577.0	50.13
11500	0	582.0	50.16
11600	0	587.1	50.17
11700	0	592.1	50.18
11800	0	597.1	50.15
11900	0	602.1	50.20
12000	0	607.1	50.16
12100	0	612.1	50.19
12200	0	617.2	50.17
12300	0	622.2	50.18
12400	0	627.2	50.18
12500	0	632.2	50.19
12600	0	637.2	50.16
12700	0	642.2	50.27
12800	0	647.3	50.22
12900	0	652.3	50.17
13000	0	657.3	50.17
13100	0	662.3	50.18
13200	0	667.3	50.17
13300	0	672.3	50.17
13400	0	677.4	50.16
13500	0	682.4	50.22
13600	0	687.4	50.15
13700	0	692.4	50.16
13800	0	697.4	50.11
13900	0	702.4	50.18
14000	0	707.5	50.14
14100	0	712.5	50.16
14200	0	717.5	50.18
14300	0	722.5	50.16
14400	0	727.5	50.15
14500	0	732.5	50.14
14600	0	737.6	50.17
14700	0	742.6	50.18
14800	0	747.6	50.17
14900	0	752.6	50.18
15000	0	757.6	50.15
15100	0	762.6	50.10
15200	0	767.6	50.16
15300	0	772.7	50.14
15400	0	777.7	50.17
15500	0	782.7	50.15
15600	0	787.7	50.18
15700	0	792.7	50.21
15800	0	797.7	50.17
15900	0	802.8	50.20
16000	0	807.8	50.17
16100	0	812.8	50.13
16200	0	817.8	50.17
16300	0	822.8	50.18
16400	0	827.8	50.16
16500	0	832.9	50.13
16600	0	837.9	50.13
16700	0	842.9	50.19
16800	0	847.9	50.13
16900	0	852.9	50.17
17000	0	857.9	50.17
17100	0	863.0	50.15
17200	0	868.0	50.17
17300	0	873.0	50.17
